,Event_Name,Tweet_Timestamp,Hour,Day,Count
388,Boxing Day,11/1/2022 2:00,2,11/1/2022,0
389,Boxing Day,11/1/2022 3:00,3,11/1/2022,0
390,Boxing Day,11/1/2022 4:00,4,11/1/2022,0
391,Boxing Day,11/1/2022 5:00,5,11/1/2022,0
392,Boxing Day,11/1/2022 6:00,6,11/1/2022,0
393,Boxing Day,11/1/2022 7:00,7,11/1/2022,0
394,Boxing Day,11/1/2022 8:00,8,11/1/2022,0
395,Boxing Day,11/1/2022 9:00,9,11/1/2022,0
396,Boxing Day,11/1/2022 10:00,10,11/1/2022,0
397,Boxing Day,11/1/2022 11:00,11,11/1/2022,0
398,Boxing Day,11/1/2022 12:00,12,11/1/2022,0
399,Boxing Day,11/1/2022 13:00,13,11/1/2022,0
400,Boxing Day,11/1/2022 14:00,14,11/1/2022,0
401,Boxing Day,11/1/2022 15:00,15,11/1/2022,0
402,Boxing Day,11/1/2022 16:00,16,11/1/2022,0
403,Boxing Day,11/1/2022 17:00,17,11/1/2022,0
404,Boxing Day,11/1/2022 18:00,18,11/1/2022,0
405,Boxing Day,11/1/2022 19:00,19,11/1/2022,0
406,Boxing Day,11/1/2022 20:00,20,11/1/2022,0
407,Boxing Day,11/1/2022 21:00,21,11/1/2022,0
408,Boxing Day,11/1/2022 22:00,22,11/1/2022,0
409,Boxing Day,11/1/2022 23:00,23,11/1/2022,0
410,Boxing Day,11/2/2022 0:00,0,11/2/2022,0
411,Boxing Day,11/2/2022 1:00,1,11/2/2022,0
412,Boxing Day,11/2/2022 2:00,2,11/2/2022,0
413,Boxing Day,11/2/2022 3:00,3,11/2/2022,0
414,Boxing Day,11/2/2022 4:00,4,11/2/2022,0
415,Boxing Day,11/2/2022 5:00,5,11/2/2022,0
416,Boxing Day,11/2/2022 6:00,6,11/2/2022,0
417,Boxing Day,11/2/2022 7:00,7,11/2/2022,0
418,Boxing Day,11/2/2022 8:00,8,11/2/2022,0
419,Boxing Day,11/2/2022 9:00,9,11/2/2022,0
420,Boxing Day,11/2/2022 10:00,10,11/2/2022,0
421,Boxing Day,11/2/2022 11:00,11,11/2/2022,0
422,Boxing Day,11/2/2022 12:00,12,11/2/2022,0
423,Boxing Day,11/2/2022 13:00,13,11/2/2022,0
424,Boxing Day,11/2/2022 14:00,14,11/2/2022,0
425,Boxing Day,11/2/2022 15:00,15,11/2/2022,0
426,Boxing Day,11/2/2022 16:00,16,11/2/2022,0
427,Boxing Day,11/2/2022 17:00,17,11/2/2022,0
